n,n,n,n,n,e,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n
1735.4,1953.4,2142,2313.2,2450.8,2589.6,3601,3737.1,3885.2,4049.7,4176,4405.2,4607.9,4726.3,4932.5,5089.1,5248.7,NaN,NaN,5597,NaN,5797.8,5953.3,6130.8,6350.9,6597.2,6809.2,6954.2,7070.3,7257.3,7412.2,7567,NaN,NaN,7928.4,NaN,8126.5,8285,8465.8,8684.8,8808.1,8920.9,9105.5,NaN,9304.2,9466.4,9632.3,NaN,NaN,9986.7,10127,10240,10422,10579,10744,10966,11092,11208,11399,NaN,11595,11754,11938,NaN,NaN,12265,NaN,12461,12626,12798,13021,13148,13262,13443,NaN,13642,13804,13977,NaN,NaN,14332,NaN,14530,14691,14857,15084,15211,15326,15515,NaN,15720,15879,16055,16279,16407,16522,16702,NaN,16901,17062,17257,NaN,NaN,17603,NaN,17815,17985,18166,18392,18517,18631,18836,19000,19113,19300,NaN,19501,19662,19846,20073,20204,20323,20508,NaN,20712,20877,21047,NaN,NaN,21433,21613,21733,21952,22151,22269,22460,NaN,22662,22820,22997,23221,23347,23466,23658,NaN,23863,24028,24233,NaN,NaN,24587,NaN,24791,24954,25150,NaN,NaN,25544
1774.1,2023.2,2214.1,2376.8,2519.4,2685,3658.9,3819.4,3957,4124.6,4287,4474.9,4678.3,4844.5,5028.6,5182.6,NaN,NaN,5504.2,NaN,5747.6,5904.5,6049,6312.3,6553.3,6719.4,6879.9,7029.2,7193.2,7358.3,7514.8,NaN,NaN,7830.5,NaN,8079.2,8234.4,8385,8648,8760,8890.3,9047.3,NaN,9256.4,9417.2,9566.6,NaN,NaN,9889,10060,10205,10376,10547,10683,10927,11044,11173,11330,NaN,11547,11705,11853,NaN,NaN,12199,NaN,12413,12592,12745,12984,13112,13232,13380,NaN,13593,13753,13899,NaN,NaN,14248,NaN,14481,14640,14795,15043,15175,15286,15449,NaN,15669,15846,15980,16243,16370,16490,16645,NaN,16852,17004,17163,NaN,NaN,17514,NaN,17757,17925,18092,18350,18465,18597,18757,18912,19082,19241,NaN,19451,19605,19764,20033,20146,20281,20447,NaN,20666,20824,20979,NaN,NaN,21308,21505,21692,21857,22028,22230,22394,NaN,22610,22764,22925,23184,23300,23431,23591,NaN,23813,23972,24133,NaN,NaN,24505,NaN,24736,24913,25057,NaN,NaN,25411,25611
