n,n,n,n,n,e,n,n,e,n,n,e,n,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,n
1838.5,1982.9,2532.8,2669,2824.9,2953.1,3502.3,3754.6,3864.4,4085.8,4255.4,4375.6,4610.2,4856,4992.5,5197,5354.7,5465.7,5643.9,5792.4,5956,NaN,NaN,6284.8,NaN,6479.3,6631.1,6801.7,7015.9,7137.2,7247.2,7442.2,7581.5,7692.3,7869,8021,8179.8,8268.5,8511.9,NaN,8703.2,8860.9,9025.1,9240.4,9365.6,9475.1,9682.1,9831,9942.5,10147
1881.8,2287.2,2602.7,2742.8,2891.9,3060.1,3650.6,3824.4,3976.1,4188.1,4324.1,4498.1,4680.8,4949.2,5097.2,5274.1,5427.6,5582,5741.7,5886.1,NaN,NaN,6208.3,NaN,6432,6578,6727.4,6971.9,7089.1,7209.1,7366.2,7514.2,7656.4,7812.2,7969.4,8118.3,8246.4,8420.9,NaN,8658.4,8800.2,8955.6,9200.3,9311.8,9440.7,9596.2,9754.6,9908.2,10064,10217
