n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,a,b,c,x,g
3017.9,3139.5,3915.4,4094.2,4259.6,4375.8,4549.2,5529.4,5710.9,5832.9,6133.4,6333.4,6462.5,6674.2,6826.2,6988.7,NaN,NaN,7321.9,NaN,7522.8,7683.6,7863.2,8091.5,8217.7,8344,8559.5,8719.4,8840.7,9032.2,9185.8,9352,NaN,NaN,9696,NaN,9891.3,10051,10222,NaN,NaN,10553,NaN,10751,10909,11093,11319,11445,11557,11763,11912,12029,12222,12377,12545,NaN,NaN,12888,NaN,13085,13244,13434,13754,13894,14011,14217,14370,14487,14675,14834,15006,15226,15350,15463,15673,15832,15947,16131,NaN,16328,16485,16674,NaN,NaN,17039,17208,17333,17567,17743,17862,18069,18257,18376,18558,NaN,18757,18929,19129
3050.8,3185.5,3968.9,4167.9,4321.3,4474.9,4655.1,5589.7,5773,5940.8,6201.6,6405.7,6577.8,6766.4,6926.7,NaN,NaN,7243.7,NaN,7472.8,7626.7,7782.9,8040.2,8163.9,8290.2,8462.3,8631.1,8797.2,8959.2,9136.4,9285.5,NaN,NaN,9608.8,NaN,9841.6,9995.7,10152,NaN,NaN,10499,NaN,10700,10858,11009,11275,11390,11521,11683,11839,11986,12152,12326,12479,NaN,NaN,12809,NaN,13035,13191,13345,13616,13835,13970,14136,14292,14446,14609,14779,14933,15183,15300,15423,15588,15744,15908,16068,NaN,16278,16433,16589,NaN,NaN,16932,17105,17282,17453,17638,17821,17986,18143,18339,18499,NaN,18707,18868,19030,19288
