n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n
2574.2,2776.3,2893.5,3172.7,3364.3,3480.9,3694.9,3868.5,3987.2,4173.1,4319.6,4478.8,NaN,NaN,4801.4,NaN,4989.8,5142.2,5303.4,5515.6,5639.8,5751.2,5945.9,6088.7,6198.9,6387.7,6536.6,6698.8,NaN,NaN,7026,NaN,7216.1,7371.7,7541.9,7757.4,7883.7,7998.9,8200.7,8342.2,8454.8,8661.2,8800.8,8912,9098.3,9252.1,9413.7,NaN,NaN,9742.1,NaN,9933.8,10093,10263,10482,10613,10726,10934,11074,11188,11396,11567,11684,11906,12061,12177,12374,12526,12734,NaN,NaN,13107,13266,13381,13573,13728,13921,NaN,NaN,14279,NaN,14474,14647,14875,NaN,NaN,15245
2649,2844.7,3006.1,3247.2,3437.1,3597.6,3768.8,3946.9,4102,4273.2,4413.9,NaN,NaN,4736.7,NaN,4943.7,5087.5,5234.8,5475.8,5588.4,5717.1,5868.6,6023.2,6163.2,6318.5,6487.3,6633.5,NaN,NaN,6972.3,NaN,7167.4,7314.4,7464.8,7718.5,7839.8,7954.8,8114.1,8271.4,8419.2,8570.1,8747,8877.8,9032.8,9189.5,9348.6,NaN,NaN,9687.8,NaN,9883.8,10036,10188,10443,10551,10683,10844,11021,11155,11317,11465,11648,11806,11983,12141,12300,12474,12628,NaN,NaN,12991,13189,13343,13514,13676,13827,NaN,NaN,14175,NaN,14428,14578,14744,NaN,NaN,15131,15324
