-,-,-,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n
1386.1,1570,1772.6,1976.6,2120.1,2286.2,2433.8,3391.6,3558.8,3699.8,3924.3,4084.3,4208.3,4392.8,4547.3,4715.1,NaN,NaN,5047.3,NaN,5248.9,5408.8,5587.1,5815.5,5937.8,6053.8,6253.7,6404,6518.1,6703.9,6855.4,7021.1,NaN,NaN,7351.9,NaN,7546.6,7703.6,7879.3,8096.6,8222,8335.7,8519.2,NaN,8716.4,8870.9,9041.2,9261.9,9390.2,9503,9683.2,NaN,9881.3,10036,10221,NaN,NaN,10577,10713,10826,11002,NaN,11200,11359,11533,11749,11878
1419.1,1602.4,1820.9,2036.7,2178,2328,2541,3461.6,3629,3807.6,4009.9,4160.7,4331.6,4499.9,4646.3,NaN,NaN,4975.5,NaN,5198.7,5351.8,5510.5,5758.7,5890.6,6014.3,6178.5,6331.1,6483.3,6637.7,6810.3,6959.4,NaN,NaN,7276.7,NaN,7501.1,7653.6,7805.7,8059.1,8178.7,8300.8,8455.9,NaN,8667.8,8817.5,8970.9,9221.5,9339.6,9468.9,9628.9,NaN,9831.8,9978.8,10137,NaN,NaN,10487,10652,10795,10946,NaN,11153,11308,11462,11712,11823,11959
