n,n,g,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,n,e,c,x,g,n,n,e,n
1988.4,2282.8,2440.7,4322.2,4434,4612,4766.4,4905.3,5117.6,5296.6,5421.7,5671,5834.3,5952.4,6131.6,6286.2,6452,NaN,NaN,6772.3,NaN,6966.2,7119.3,7280.2,7497.9,7624,7736.1,7934.5,8075.2,8186.9,8381.3,8531.7,8703.8,NaN,NaN,9029.6,NaN,9221.7,9377.4,9539.8,9761,9887.7,10000,10201,10375,10489,10712,10859,10975,11150,11304,11473,NaN,NaN,11818,NaN,12011,12175,12339,12558,12686,12799,13004,13153,13264,13451,13603,13780,NaN,NaN,14130,14279,14397,14609,14892,15054,15174,15374,15523,15697,15915,16045,16162,16384
2176.8,2343.7,2566.8,4361.2,4551.1,4680.8,4831,5044.2,5197.8,5367.7,5529.2,5741.9,5907.2,6073.2,6237.4,6383.4,NaN,NaN,6715.3,NaN,6920,7069.7,7219.2,7461.8,7570.9,7699.7,7858.4,8010.7,8150.6,8306.8,8481.9,8630.4,NaN,NaN,8957.9,NaN,9175.6,9324,9477.4,9721.5,9838.7,9961.9,10122,10276,10453,10612,10789,10938,11093,11250,11405,NaN,NaN,11730,NaN,11963,12144,12271,12518,12634,12767,12921,13077,13229,13386,13553,13701,NaN,NaN,14044,14199,14354,14523,14684,14962,15131,15298,15471,15623,15874,15990,16119,16288,16460
