n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
3767.1,3925.7,4085.9,4242.4,4399.2,4962.2,5126.8,5242.7,5455,5652.5,5777.1,5959.7,6114.2,6275.6,NaN,NaN,6601.7,NaN,6801,6961.3,7130,7348.7,7475.2,7587.7,7774.8,7932.4,8098.6,NaN,NaN,8446.4,8590.6,8706.6,8891.7,9048.1,9209.9,NaN,NaN,9540.8,NaN,9740.4,9900.8,10086,10312,10465,10610,10723,10969,11121,11236,11414,11575,11738,NaN,NaN,12093,NaN,12291,12450
3809.4,4001.4,4147,4303.4,4500.8,5063.8,5197.2,5360.4,5532.2,5730.6,5894.4,6063.9,6212,NaN,NaN,6546.8,NaN,6752.3,6896.8,7060.6,7309.8,7433,7550.1,7709.5,7876.3,8031.7,NaN,NaN,8354.7,8532.7,8664.7,8826.8,8992.1,9143.1,NaN,NaN,9467.5,NaN,9691.5,9848.2,10000,10265,10365,10555,10686,10841,11040,11198,11354,11523,11675,NaN,NaN,12018,NaN,12239,12393,12550
