g,n,n,n,n,e,n,n,e,g,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,e,c,x,d,m,p,a,b,c,x,g,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c
1452.1,1596.9,1748.7,1985.1,2160.6,2280,2591.7,2743.8,2864.7,3214.4,3391.7,3588.8,4083.2,4271.1,4389.2,4639.2,4812.6,4926.5,5104.7,5256.6,5407.8,NaN,NaN,5739.8,NaN,5934,6142.8,6438.2,6590.8,6784.4,NaN,NaN,7133,NaN,7327.6,7484.9,7648.3,7864.2,7990.9,8310.2,8455.7,8566.3,8748.6,8905,9066.8,NaN,NaN,9399.8,NaN,9595.7,9755.4,9920.5,10141,10266,10377,10563,NaN,10759,10919,11085,11302,11434,11547,11733,NaN,11931,12090,12262,12483,12607,12719,12908,NaN,13105,13264,13466,NaN,NaN,13869,14022,14135,14334,NaN,14529,14690,14854,15076,15200,15314,15527,15679,15796,15966,16178,16291,16472,NaN,16664,16830,17031,NaN,NaN,17407,17581,17696,17874,NaN,18080
1491.9,1670.7,1805.8,2060.8,2225.7,2387,2662.9,2817.8,2968.8,3280.2,3469.4,3653.7,4157,4340.6,4494.5,4714.3,4890.2,5047.2,5205.7,5362,NaN,NaN,5671.3,NaN,5887.8,6031.4,6373.8,6524.7,6699.2,NaN,NaN,7045.2,NaN,7278.8,7431.6,7587.1,7827.2,7954.7,8250,8387.4,8533.5,8695.7,8866.7,9011.5,NaN,NaN,9325.2,NaN,9546.8,9719.5,9860.3,10104,10229,10344,10516,NaN,10715,10882,11028,11265,11391,11516,11686,NaN,11883,12039,12200,12443,12568,12687,12860,NaN,13058,13231,13377,NaN,NaN,13722,13941,14102,14256,NaN,14480,14659,14788,15039,15162,15279,15449,15603,15760,15917,16099,16255,16411,NaN,16624,16794,16942,NaN,NaN,17293,17478,17657,17817,NaN,18024,18128
