n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
3526.8,3723.7,3844.8,4063.6,4254.4,4380.2,4613.6,4780.5,4917.8,5122.2,5279.2,5439.6,NaN,NaN,5782.8,NaN,5985.6,6144.6,6321.5,6550.1,6686.1,6808,7019.8,7169.5,7287.4,7497.2,7658.9,7775.1,7963.3,8119.6,8290.6,NaN,NaN,8628.7,NaN,8830.7,8993.5
3597.6,3794.3,3961.2,4136.5,4329.2,4502.1,4685.9,4858.1,5043.9,5225.4,5382.9,NaN,NaN,5710.4,NaN,5935.3,6094.8,6246.5,6511.1,6624.8,6763.9,6931.2,7097.6,7249.3,7415.1,7574.2,7740.1,7902.2,8082.7,8237.5,NaN,NaN,8551.5,NaN,8781.7,8929.7,9094.1
