-,n,n,-,n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,G,x,d,m,p,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e
1196.4,1813.2,1971.2,2558.3,2788.9,2956.2,3213.7,3408.4,3569.6,3742.4,4096.7,4266.6,4404,4967.2,5123.4,5257.9,5461.1,5618.9,5738.4,5921.7,6075.3,6238.9,NaN,NaN,6573,NaN,6770.7,6926,7107.2,7324.5,7453.5,7567.7,7781.5,7925.7,8038.7,8231.2,8386,8553.3,NaN,NaN,8890.2,NaN,9087.1,9244.6,9413.3,9631.7,9758,9869.5,10057,10212,10380,NaN,NaN,10719,NaN,10916,11074,11250,11468,11597,11709,11913,12271,12438,NaN,NaN,12799,12948,13064,13270,13420,13539,13722,NaN,13923,14086,14291,NaN,NaN,14649,14843,14960
1228.7,1855,2025.1,2591.4,2852.2,2998.4,3276.9,3489.1,3630.3,3809.1,4162.9,4335.2,4511.9,5083.7,5197.2,5373.2,5531.4,5693.7,5859.1,6022,6173.9,NaN,NaN,6497.4,NaN,6721.8,6873.5,7027.7,7288.2,7398.2,7529.7,7689.6,7853.4,8004.3,8160,8335.1,8482.7,NaN,NaN,8821.1,NaN,9038.7,9189.8,9344.5,9591.2,9705.1,9835.8,9991.7,10159,10308,NaN,NaN,10636,NaN,10868,11019,11174,11430,11539,11670,11833,12218,12369,NaN,NaN,12714,12869,13024,13186,13344,13498,13660,NaN,13874,14032,14187,NaN,NaN,14547,14715,14921,15080
