n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x
1802,1958.5,2287.2,2465.1,2591.2,3168.4,3331.4,3459.2,3644.6,3796.7,3993.2,NaN,NaN,4341.6,NaN,4538.3,4696.9,4866.8,5084.7,5215.1,5331.4,5519.2,NaN,5721.2,5879.8,6052.5,6275.6,6400.9,6515.6,6721.9,6867.5,6979.4,7164.9,7325.4,7504.2,NaN,NaN,7842.1,NaN,8038.9,8199.2,8381.5,8602.4,8730,8844.6,9029.1,NaN,9229,9394.2,9607.2,NaN,NaN,9966.4,10124,10240,10449,10586,10698,10890,NaN,11088,11249,11420,11642,11779,11898,12083,NaN,12281,12443,12631,NaN,NaN,12985,13158,13275,13455,NaN,13656,13816,14005,14224,14356,14470,14672,14834,14949,15139,NaN,15340,15501
1860.9,2020.9,2350.8,2529.1,2692,3241.8,3406.7,3574.3,3743.1,3896.3,NaN,NaN,4246.1,NaN,4487.7,4639.8,4808.6,5045.1,5159,5287.8,5457.2,NaN,5668.4,5829.8,5980.8,6233.8,6360.2,6479,6636.2,6797.3,6944.7,7100.3,7264.7,7437,NaN,NaN,7755.2,NaN,7991.5,8150.3,8299.3,8560.8,8675.7,8806.3,8968.4,NaN,9180.7,9330.6,9493.8,NaN,NaN,9861.3,10041,10202,10362,10524,10664,10821,NaN,11036,11198,11347,11598,11716,11856,12018,NaN,12230,12385,12545,NaN,NaN,12890,13056,13236,13396,NaN,13604,13765,13916,14188,14299,14436,14591,14750,14911,15072,NaN,15290,15444,15600
