n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e
2485.8,2623.8,2776.4,2937.4,3061.2,3300.6,3402.8,3604.3,3809.8,3958.3,4069.3,4248.6,4393.3,4545,NaN,NaN,4854.2,NaN,5043.8,5195.9,5358.6,5570.2,5691.5,5801.1,6004.3,6183.5,6294.4,6472.8,6623.6,6778,NaN,NaN,7092.3,NaN,7285.1,7437.5,7603.7,NaN,NaN,7940.1,NaN,8129.8,8283.3,8469.8,8689.6,8817,8937.7
2540.2,2699.2,2844.5,3004.3,3166.3,3369.7,3545.3,3716.8,3876.6,4034.7,4181.6,4343.4,4490.4,NaN,NaN,4796.1,NaN,4996.1,5140.8,5297.9,5531,5642.4,5772.4,5909.1,6074.4,6257.1,6410.9,6585,6731.8,NaN,NaN,7025.5,NaN,7235.6,7385.1,7535.9,NaN,NaN,7854.4,NaN,8081.1,8227.7,8380.3,8649.7,8762.3,8891.1,9057.2
