n,n,n,n,e,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x
1494.3,1661.3,1815.2,1977.3,2154.8,3062.4,3221.5,3545.4,3726.9,3854.3,4069.3,4228,4347.4,4529.8,4683,4847.2,NaN,NaN,5181.8,NaN,5382.5,5649.6,5798.9,5914.9,6112.4,6266.9,6432.8,6652.4,6778.3,6893.8,7086.5,NaN,7288.2,7446.5,7625,NaN,NaN,7982.1,8126,8241.6,8428.3,8585.7,8762.2,8990.7,9116.1,9230.2,9418.2,NaN,9615.1,9775.2,9957.2,10178,10307,10418,10614,NaN,10814,10979
1525.4,1722.2,1878.2,2033.7,2251.5,3125.3,3291.6,3616.1,3799.3,3970.1,4144.2,4302.4,4467.1,4626.1,4780.4,NaN,NaN,5105.7,NaN,5335,5490.3,5724.5,5875.2,6031.2,6213.1,6363.8,6611.9,6726.8,6856.8,7014.8,NaN,7237.4,7393.6,7544.1,NaN,NaN,7883.6,8051.8,8203.1,8366.7,8532.3,8695.9,8946.4,9060,9191.6,9354.1,NaN,9567,9725.8,9882,10138,10261,10386,10542,NaN,10763,10938,11077
