n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1253.9,1976.4,2142,2275.6,3151.5,3329.8,3461.6,3748.8,3930.3,4050,4250,4401.9,4566.9,NaN,NaN,4885.9,NaN,5075.8,5232.3,5406.2,5625.6,5757.7,5872.3,6082.2,6361.2,6506.8,6622.9,6802.6,6953.3,7117.1,NaN,NaN,7440,NaN,7632.2,7790.2,7962,8174.3,8305.5,8421.8,8617.6,8763.7,8877.5,9074.9,9222.7,9334.7,9512.7,9665.6,9824.7,NaN,NaN,10147,NaN,10341,10497,10679,10895,11022,11136,11343
1301.2,2043.2,2207.9,2378.8,3222.4,3399.3,3568.8,3823.1,4003.2,4169.3,4345.9,4496.2,NaN,NaN,4819.3,NaN,5025.7,5180.6,5326.7,5583.3,5699.9,5830.2,5990.9,6149.7,6459.3,6589.1,6738.6,6905.3,7054.4,NaN,NaN,7379.1,NaN,7586.9,7752,7889.8,8140.1,8260.1,8384.9,8542.5,8693.1,8837.5,8996.8,9151.3,9295.2,9454.8,9616.4,9766.9,NaN,NaN,10079,NaN,10295,10448,10595,10856,10980,11099,11257,11414
