n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,d,m,p,n,n,e,n,n,e,c,x,n
2209,2458.5,3248.4,3407.1,3561.1,3820.2,4145.2,4460.6,4575.8,5458.5,5618,5740.5,5933.3,6085.1,6245.6,NaN,NaN,6570.5,NaN,6761.8,6911.6,7077.4,7288.1,7412.3,7523.4,7733.3,7871.7,7981.2,8154.9,8306.8,8464.8,NaN,NaN,8783.5,NaN,8976.5,9131.5,9292.8,9504.8,9626.6,9738.8,9936.3,10075,10186,10367,10519,10675,NaN,NaN,11065,11206,11316,11531,11677,11788,11963,12115,12278,NaN,NaN,12610,12814,NaN,NaN,13343,13481,13590,13817,13962,14074,14255,14407,14584
2249.2,2522.8,3296.8,3485.6,3624.6,3893.2,4335.7,4528.4,4694,5528.5,5690.4,5855.8,6038.1,6180.5,NaN,NaN,6497.2,NaN,6716,6856.4,7004.5,7249.8,7359.6,7487.8,7643.1,7801.3,7946.6,8101.2,8255.6,8403.6,NaN,NaN,8722.2,NaN,8929.9,9070.6,9228.5,9470,9575,9705,9858.7,10007,10152,10305,10470,10615,NaN,NaN,10931,11137,11283,11434,11603,11754,11906,12066,12212,NaN,NaN,12532,12752,NaN,NaN,13069,13422,13556,13708,13892,14036,14196,14353,14503,14655
