n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,n
1983.4,2175.3,2310.2,2588.2,2803.9,2930.2,3119.9,3272.2,3450.3,NaN,NaN,3815.2,NaN,4012.2,4166.2,4342.1,4563.2,4693.6,4808.2,5012.5,5179.4,5293.7,5507.7,5661.8
2052.7,2239.8,2412.5,2659.2,2873.4,3052.2,3217.9,3369.3,NaN,NaN,3707.2,NaN,3965.6,4114.1,4262.7,4514.1,4631.4,4766.9,4926.8,5086.2,5252.9,5413.1,5607.8,5697.9
