n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n
1952.9,2113.4,2266.9,2428,2575.3,3648.5,3765.6,3936.3,4164.5,4372,4492,4697.2,4846.2,5023.9,NaN,NaN,5353.7,NaN,5549.9,5707,5877.4,6097,6223.9,6338.5,6550.9,6707.7,6821.9,7012.9,7166.2,7326.2,NaN,NaN,7682.9,NaN,7882.3,8044,8221.9,8441,8573.7,8690.9,8897.7,9039.2,9163.7,9408.5,9544.2,9655.5,9840.3,9994.5,10170,10394,10522,10639,10871,11047,11165,11355,11510,11673,NaN,NaN,12056
2020.4,2186.2,2333.7,2491.8,2729.9,3721.3,3874.4,4048,4234.3,4447,4614.2,4798.2,4945.9,NaN,NaN,5286.6,NaN,5503.7,5658.8,5806.3,6056.2,6168.4,6299.1,6466.2,6624.6,6783.4,6945.1,7111.5,7264.4,NaN,NaN,7586.9,NaN,7831.3,7988.8,8141.1,8401.2,8518.9,8648.6,8811.3,8979.8,9115.3,9288.7,9479.6,9618.9,9772.3,9937.8,10093,10352,10470,10597,10766,10944,11126,11291,11460,11608,NaN,NaN,11933,12129
