n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e
1994.8,2168,2292.2,2514,2698.3,2816.3,3005.7,3162,3321.5,NaN,NaN,3656.1,NaN,3856.6,4012.3,4196.4,4418.9,4549,4662.1,4850.4,5009.6,5168.6,NaN,NaN,5520.2,NaN,5720.2,5880.3,6052.2,6276.5,6404.9,6520.3,6727.9,6869.6,6981.5,7178.2,7334.4,7503.2,7727.8,7856.5,7970.2,8157.8,NaN,8356.7,8517.1,8688.9,NaN,NaN,9033.3,NaN,9233.5,9385.5,9501.2,9688.5,9847.7,10019,10246,10376,10493,10677,NaN,10878,11039,11224,NaN,NaN,11568,NaN,11777,11961,12077,12271,NaN,12469,12633,12803,13032,13164,13280,13467,NaN,13669,13833,14038,NaN,NaN,14402,14543,14659,14879,15032,15215
2065.6,2238.1,2411.7,2605.8,2773.2,2941,3110.8,3261.2,NaN,NaN,3587.1,NaN,3809,3964.9,4122.1,4382.2,4506,4623.6,4785.7,4960.8,5118.5,NaN,NaN,5433.1,NaN,5669.8,5839.3,5989.6,6235.7,6363.5,6488.4,6642.6,6803,6947.3,7105.4,7287.4,7442.5,7687.3,7814.1,7935.7,8096.9,NaN,8306.9,8480.5,8631.1,NaN,NaN,8951,NaN,9183.7,9326.1,9460.5,9637,9810.8,9958.3,10204,10329,10454,10639,NaN,10828,11004,11152,NaN,NaN,11489,NaN,11720,11877,12042,12203,NaN,12421,12584,12748,12989,13117,13241,13401,NaN,13618,13776,13940,NaN,NaN,14293,14476,14617,14787,14953,15111,15335
