-,-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p
1941.4,2935.4,3208,3367.6,3478.4,3698.9,3867.1,3978.1,4163.7,4313,4469.3,NaN,NaN,4788.1,NaN,4981.3,5132.7,5301.3,5512.2,5636.6,5747,5945.3,6079.8,6190.3,6368.3,6518.9,6673.9,NaN,NaN,7001.8,NaN,7200.7,7355.6,7530.3,7743.7,7870.1,7979.2,8168.9,8318.8,8485.2,NaN,NaN,8833.9,NaN,9032.7,9188.8,9413.3,NaN,NaN
2042.2,3004.1,3279.1,3438,3591,3765.4,3937.6,4096.1,4262.8,4410.1,NaN,NaN,4738.2,NaN,4937.2,5076.5,5226.6,5474.2,5582.9,5709.5,5863.5,6018.8,6153.8,6309.3,6472.1,6616.7,NaN,NaN,6928.6,NaN,7147.8,7302.4,7453.6,7706.6,7816.6,7945.8,8097.5,8271.2,8417.3,NaN,NaN,8742.1,NaN,8978.8,9141.8,9290.9,NaN,NaN,9667.4
