n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m
1813.8,1988,2158.8,2439.5,2610.2,2738.7,2974,3165.8,3284.1,3520.6,3690,3814.1,4001.6,4152.2,4282.6,NaN,NaN,4626.2,NaN,4819.8,4972.6,5153.8,5374.4,5505,5617,5818.9,5955.5,6070.1,6252.9,6408.2,6569,NaN,NaN,6891.5,NaN,7087.5,7242.2,7414.3,7632.5,7757.3,7871.6,8061.5,NaN,8260.8,8418.8,8599.9,8686.2
1866.4,2059.1,2213.7,2520,2674.5,2841.4,3046.2,3237.3,3403.4,3587.7,3765.5,3931.8,4100.9,4248.7,NaN,NaN,4545.6,NaN,4773.3,4920.2,5069.3,5332.5,5443.8,5582.4,5737.3,5888.8,6031.7,6189.9,6356.5,6506.5,NaN,NaN,6821.7,NaN,7035.5,7190.7,7341.5,7591.7,7704.3,7833,7995.5,NaN,8209,8357.1,8513.4,8670.7,8731.6
