n,n,n,n,e,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n
1856.5,1982.2,2149.1,2320.1,2451.6,2785.8,2937.5,3104.7,3236,3487.8,3713.8,3845.7,4052.8,4215.6,4341.1,4556.2,4706.1,4881.2,NaN,NaN,5224.6,NaN,5427,5583.2,5756,5978.2,6103.4,6219.2,6423.5,6562.9,6680.1,6866.2,7023.6,7182.6,NaN,NaN,7520.8,NaN,7719.2,7877.8,8066.1,8287.9,8411.9,8525,8730.6,8872.7,8985.5,9175.3,9333,9504.7,NaN,NaN,9842.7,NaN,10043,10202,10375,10595,10719,NaN,NaN,11018,NaN,11217,11375,11542,NaN,NaN,11893,12029,12148,12331,NaN,12531,12693,12874,NaN,NaN,13270,13427,13541,13751,13901,14016,14202,NaN,14403,14564,14730,NaN,NaN,15195,15332,15446,15634,NaN,15836,15996,16175,16399,16525,16640,16827,NaN,17030,17193,17379,17603,17732,17846,18031,NaN,18232,18391,18590,NaN,NaN,18948,19093,19210,19399,NaN,19602,19767,19939,20174,20334
1909.5,2053.5,2216.7,2378.3,2560.4,2863.8,3008.2,3176.5,3342.5,3557.2,3785.9,3957.7,4134.8,4292.7,4464.3,4647.6,4803.4,NaN,NaN,5135.4,NaN,5369,5530.9,5692.5,5937.2,6066.7,6180.1,6339.6,6505.4,6639.2,6805.2,6968.6,7121.8,NaN,NaN,7443.3,NaN,7665.4,7839,7976.4,8246.7,8375.9,8492.5,8647,8803.6,8953.4,9109.1,9292.9,9444.8,NaN,NaN,9757.1,NaN,9993,10163,10319,10560,10687,NaN,NaN,10976,NaN,11169,11323,11478,NaN,NaN,11803,11965,12107,12270,NaN,12482,12636,12791,NaN,NaN,13129,13340,13507,13672,13828,13986,14155,NaN,14352,14527,14677,NaN,NaN,14994,15267,15414,15564,NaN,15782,15959,16114,16354,16482,16609,16789,NaN,16979,17157,17309,17558,17693,17815,17982,NaN,18184,18356,18513,NaN,NaN,18847,19021,19180,19333,NaN,19550,19728,19881,20123,20251,20411
