-,-,-,-,-,n,n,n,n,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n
1998.4,2308.4,2830.9,3646.7,4251.2,4502,4812.8,4966.1,5197.1,5353.5,5522.1,5662.2,5878.1,5978.5,6183.1,6423.4,6784.2,6968.6,7086.9,7278.8,7432.4,7593.9,NaN,NaN,7932.6,NaN,8132.9,8286.3,8454.5,9030.4,9175.2,9287.5,9490.4,9642.8,9805.2,NaN,NaN,10137,NaN,10335,10493,10667,10885,11012,11124,11325,11474,11585,11772,11927,12086,NaN,NaN,12416,NaN,12613,12770,12941,13164,13287,13400,13607,13754,13866,14046,NaN,14245,14404,14566,14791
2050.8,2370.4,3006.7,3833,4309.5,4726.3,4891.4,5035.8,5283.5,5422.8,5587.3,5773.7,5948.3,6125.7,6299,6495,6857.2,7036.2,7211.4,7382.2,7528.5,NaN,NaN,7853.2,NaN,8082.6,8234.2,8381.9,8575.3,9107.4,9253.3,9414.3,9594.2,9741.9,NaN,NaN,10068,NaN,10288,10439,10590,10847,10956,11089,11252,11398,11551,11709,11880,12026,NaN,NaN,12350,NaN,12564,12713,12866,13122,13237,13365,13523,13677,13832,13986,NaN,14195,14348,14504,14750,14866
