n,n,n,d,m,p,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c
1848.2,1974.7,2124.5,2261.9,NaN,NaN,2713.1,2826.2,3024.5,3135.8,3367.2,4245.8,4419.1,4531.6,4778.6,4952.3,5064.3,5247.8,5400.1,5556.6,NaN,NaN,5879.7,NaN,6075.6,6230.6,6399.6,6617.1,6740.5,6853.3,7060.5,7204.5,7318.1,7504.6,7658.7,8340.4,8498.1,8664.3,8883.8,9011.8,9123.8,9308.7,NaN,9505.8,9667.3,9854.4,NaN,NaN,10198,10334,10450,10624,10781,10956,11177,11302,11414,11612,NaN,11814
1905.4,2048,2195.6,NaN,NaN,2521.6,2793.4,2928.1,3097.1,3248.2,3433.8,4324,4486.9,4619,4850,5024.1,5188.8,5348.8,5500,NaN,NaN,5813.9,NaN,6026.9,6197.8,6328.8,6580.8,6691.8,6814.2,6973,7136.1,7280.1,7441.4,7619.1,7756.3,8466,8595.8,8842.6,8954.3,9094.1,9237.5,NaN,9455.2,9609.2,9769.8,NaN,NaN,10107,10271,10408,10580,10729,10881,11139,11253,11384,11528,NaN,11763,11897
