n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g
1887.1,2042.7,2305.3,2483.8,2631.1,3323.2,3471.6,3628.5,3756.4,3964.4,4123.3,4243.1,4432,4585.9,4743.7,NaN,NaN,5070.1,NaN,5267.7,5423.1,5592.1,5810.8,5932.1,6046.8,6245.8,6388,6502.5,6686.9,6842.7,6999.5,NaN,NaN,7329.3,NaN,7524,7683.6,7846.9,8063.2,8186,8298.4,8496.2,8639.3,8752.2,8936.7,9090.9,9247.2,NaN,NaN,9604.1,9745.3,9861.2,10043,10198,10374
1964.5,2103.8,2366.8,2533.9,2737.3,3390,3540.2,3700.2,3871.4,4044.4,4194.8,4362.7,4531.2,4684.4,NaN,NaN,5003.1,NaN,5216,5364.2,5519.8,5772.5,5883.2,6008.3,6167.2,6316.9,6465.8,6626.1,6790.8,6941.8,NaN,NaN,7256.1,NaN,7479.5,7631,7780.5,8020.3,8135.3,8259.5,8419.7,8570.7,8718.6,8877,9038.1,9189.3,NaN,NaN,9506,9675.4,9823.1,9986.5,10148,10298,10554
