n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n
1987.1,2148.8,2268.1,2520.8,2701,2818.6,3001.3,3149.7,3315.3,3403.7,3630.1,NaN,3818.8,3967.8,4148,4358.8,4491.6,4603.2,4807.6,4942.3,5048.5,5225.3,5375.9,5529.8,NaN,NaN,5850.8,NaN,6043.3,6197.5,6361.7,6577,6695.8,6803.9,6979,NaN,7167.8,7322.7,7483,NaN,NaN,7799.1,NaN,7992.7,8147,8318.4,8530.5,8656,8764.1,8957.7,9096.3,9207,9382.2,9533.4,9697.9,9786.6,10042,10185,10300,10498,10636,10745,10929,NaN,11123,11280,11509,NaN,NaN,11835,NaN,12031,12188,12380,12599,12724,12840,13022,NaN,13219,13373,13550,NaN,NaN,13914,14078,14193,14410
2058.1,2213.5,2376,2584.4,2773.1,2933.9,3094.8,3243.1,3374.3,3552.2,NaN,3771.3,3916.5,4063.6,4319.3,4430.6,4564.8,4719.1,4878.7,5013.7,5164.9,5329.4,5472.2,NaN,NaN,5777.9,NaN,5993.1,6145.9,6291.4,6537.2,6647.7,6772.1,6923,NaN,7118.2,7263.9,7418.8,NaN,NaN,7727.2,NaN,7944,8087.1,8245.5,8493.2,8603.2,8731.2,8879.9,9025.8,9169.8,9324.9,9482.8,9628.5,9758.7,9942.2,10110,10258,10418,10567,10712,10863,NaN,11077,11230,11386,NaN,NaN,11758,NaN,11978,12134,12286,12558,12671,12799,12958,NaN,13169,13318,13472,NaN,NaN,13802,13982,14156,14312,14482
