n,n,n,n,n,g,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,c,x
1434.2,1616.7,1820.9,1983.6,2137.5,2291.7,3147.9,3293.2,3445,3595.8,3740.4,3957.6,4167.9,4299.3,4494.4,4651.3,4816.3,NaN,NaN,5162.9,NaN,5358.2,5518.1,5685.8,5905.8,6031.6,6148,6356.8,6497.9,6610.5,6794.2,6947.8,7108.3,NaN,NaN,7442.4,NaN,7640.6,7800,7968.1,8187.4,8316.8,8429,8633.5,8777.5,8889,9078.5,9234.8,9395.8,NaN,NaN,9727.4,NaN,9923.4,10083,10303,NaN,NaN,10657,10814,10926,11115,11272
1474.2,1680.4,1880.7,2034.8,2193.8,2393.3,3208.2,3364.3,3565.7,3665.3,3844.2,4024.4,4243.4,4412.2,4597.2,4746.3,NaN,NaN,5073.8,NaN,5310.6,5453.7,5624.2,5868.4,5979.8,6108,6266.2,6427.3,6577.1,6731.5,6900.8,7049.3,NaN,NaN,7367.7,NaN,7588.9,7749.4,7906.5,8151.7,8263.9,8394,8551.8,8705.4,8854.5,9018.2,9178.9,9333.2,NaN,NaN,9652.6,NaN,9876.4,10031,10186,NaN,NaN,10561,10730,10890,11047,11217,11375
