g,n,n,-,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p
1420.7,1578.8,1743.1,1990.2,2998.6,3190.9,3314.2,3750.7,3948.2,4085.6,4319.2,4503.7,4639.8,4831.2,4983.2,5143.9,NaN,NaN,5482.7,NaN,5684.5,5843.4,6016.3,6237.5,6369.8,6485.7,6713.9,6860.8,6973.8,7153.4,NaN,7349.9,7506.7,7704.2,NaN,NaN
1522.2,1640.7,1792.3,2050.6,3062.6,3253.3,3419.8,3822.7,4017.5,4195.1,4389.5,4574.1,4761.1,4933.7,5084.1,NaN,NaN,5402.9,NaN,5635.1,5790.6,5959.3,6202.6,6320.2,6450.5,6610.7,6793.4,6937.5,7100.5,NaN,7299.2,7457.7,7606,NaN,NaN,7959.5
