n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,c,x,d,m,p
1807.5,1974.4,2128.4,2317,3149.3,3308,3466.9,3652.2,3788.6,4026.4,4210.1,4339.7,4525.6,4679,4837.2,NaN,NaN,5169.6,NaN,5363.6,5522,5700.5,5918.7,6048.9,6161.9,6377.1,6521.7,6643.2,6826.6,6979.9,7145.2,NaN,NaN,7472.6,NaN,7670,7828.4,8008.4,8223.6,8350.5,8460.7,8644.7,NaN,8840.7,8999.8,9170.3,NaN,NaN,9508,NaN,9705.5,9863.5,10038,10260,10386,10498,10709,10919,11034,11214,11369,11530,11864,12025,12135,12325,12479,12650,NaN,NaN
1850.6,2053.6,2185.3,2375.4,3225.7,3386.7,3537.6,3717.1,3890.1,4171,4276.8,4456.5,4626.7,4778.1,NaN,NaN,5092.1,NaN,5320.8,5464.1,5620.3,5878.3,5992.5,6124.3,6280.8,6455.3,6597.6,6763.5,6926.7,7077.7,NaN,NaN,7398.4,NaN,7621.4,7766.3,7927.3,8184.8,8297.4,8421.4,8584.9,NaN,8791.8,8950,9097.6,NaN,NaN,9421.8,NaN,9655.3,9807.7,9964.7,10219,10332,10460,10621,10782,10993,11154,11314,11462,11707,11933,12099,12260,12431,12579,NaN,NaN,12900
