n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x
1763.9,1961.4,2136.8,2298.1,2453.2,2608.6,2865.5,3029.2,3150.8,3422.6,3601.9,3733.4,3919.5,4068.4,4221.6,NaN,NaN,4549.5,NaN,4739.2,4887.5,5058,5270.9,5395.3,5505.2,5697.2,5845.9,6004.9,NaN,NaN,6323.2,NaN,6513.6,6666.4,6850.2,7063.4,7186.9,7303.2,7500.3,7646.3,7755.9,7942.2,8093,8250.3,8337.2,8575.5,NaN,8767.1,8923.7
1797.2,2016.8,2203.8,2390.2,2510.1,2711.3,2959.2,3097.1,3264.5,3490.1,3674.5,3847,4016.4,4163.3,NaN,NaN,4473.3,NaN,4691.7,4834.5,4984.3,5232.3,5342.4,5470.3,5628.4,5793.3,5943.7,NaN,NaN,6257.5,NaN,6466.6,6619.2,6762.2,7025.4,7134.8,7258.9,7419.3,7572.3,7720.9,7874,8043,8188,8311.2,8492.2,NaN,8720.7,8869.2,9021.6
