n,n,n,n,n,n,e,n,n,e,c,x,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n
1821.6,1985.3,2139.1,2306.7,2459.4,3125.2,3413.9,3637.4,3808.5,3929.7,4123,4276.5,4969,5126.3,5292,5510.4,5635.8,5746.9,5945.8,6082.7,6198.1,6388.8,NaN,6584.5,6741.7,6916.2,NaN,NaN,7272.1,7414.5,7531.5,7717.6,NaN,7915.8,8076.9,8257.7,8481.3,8609.4,8726,8911.6,NaN,9108,9266.1,9443.7,9666.4,9794.5,9911.7,10128,10343,10456,10669
1855.6,2054.2,2243.1,2371.4,2512.1,3357.8,3522.6,3773.3,3884.4,4049.9,4213.9,4375.8,5067.2,5219,5471.2,5583.2,5712.9,5881.4,6020,6162.9,6320.1,NaN,6538.2,6707.8,6836.9,NaN,NaN,7171.4,7346.7,7490.9,7658.1,NaN,7867.8,8024.3,8171.4,8438.5,8573.5,8687.9,8849.8,NaN,9059.6,9211.8,9363.9,9626.5,9742,9868.3,10036,10201,10420,10580,10742
