n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,n,e,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,n,e,n
3881.2,4069.8,4191,4436.5,4605.5,4733.9,4941.8,5094.2,5257.9,NaN,NaN,5590.4,NaN,5790.4,5947.1,6122.6,6346.8,6477.3,6594.6,7412.6,7574.2,7694,7878.8,8034.6,8194.6,NaN,NaN,8527.5,NaN,8725.3,8882.4,9055.1,9281.7,9411.4,9525,9727.9,9879.9,9995,10178,10336,10495,NaN,NaN,10837,NaN,11038,11199,11374,11597,11733,11849,12053,NaN,12253,12413,12585,NaN,NaN,12934,NaN,13133,13290,13465,13690,13824,13941,14131,NaN,14329,14494,14664,NaN,NaN,15038,15186,15300,15487,15645,15819,16045,16177,16292,16479,NaN,16679,16839,17034,NaN,NaN,17415,17559,17676,17869,NaN,18072,18252,18372,18593,18745,18863,19084,19261,19395,19616,19783,19901,20104,NaN,20305,20467,20660,NaN,NaN,21050,21299,21511,21629,21846
3958.6,4141.4,4303.6,4536.6,4683.5,4858.3,5045.2,5194.8,NaN,NaN,5524.9,NaN,5743.3,5903.9,6046.8,6308.7,6425,6558.7,6720.3,7500.7,7653.3,7817.2,7987.7,8135.5,NaN,NaN,8458.9,NaN,8678.3,8830.2,8980.9,9244.5,9374.2,9486.8,9648.9,9801,9962.4,10119,10288,10439,NaN,NaN,10762,NaN,10988,11143,11301,11560,11678,11815,11974,NaN,12204,12358,12518,NaN,NaN,12852,NaN,13086,13237,13393,13653,13767,13903,14066,NaN,14283,14440,14595,NaN,NaN,14924,15112,15266,15427,15612,15750,16002,16124,16255,16433,NaN,16633,16786,16944,NaN,NaN,17297,17499,17638,17801,NaN,18019,18153,18328,18498,18671,18827,18987,19162,19342,19522,19691,19864,20028,NaN,20257,20412,20571,NaN,NaN,20924,21125,21376,21592,21756,21923
