n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a
1864.7,1999,2244,2488.5,2883.8,3071,3203.2,3620.1,3775.9,3899.7,4092.2,4243.8,4410.4,NaN,NaN,4752.4,NaN,4946.2,5102,5281.2,5496.8,5621.7,5731,5911.1,6063,6222.6,NaN,NaN,6564.4,NaN,6761.7,6912.9,7091.7,7402.8,7540.7,7656.1,7834.1,7987.7,8139.6,NaN,NaN,8473.8,NaN,8669,8823.6,8991.8,NaN,NaN,9328.4,NaN,9522,9680.1,9853.8,10068,10192,10302,10501,10640,10750,10928,NaN,11122,11276,11448,NaN,NaN,11787,NaN,11981,12137,12321,12539,12666,12779,12956,NaN,13155,13312,13478,NaN,NaN,13856,14000,14111,14312,14457,14570,14772,14913,15025,15212,NaN,15410,15566,15761,15984,16107,16220,16439,16582,16697,16913,17083,17196,17382,NaN,17582,17740,17985,NaN,NaN,18347,18508,18624,18807
1895.4,2083.6,2301,2703.6,2953.4,3137.7,3308.5,3721.3,3846.2,4018.6,4189.5,4341.6,NaN,NaN,4659.8,NaN,4902.3,5043.8,5198.9,5456.1,5568.7,5697.2,5850.7,6013.8,6160.9,NaN,NaN,6477.7,NaN,6708.6,6857.8,7011.1,7266.7,7473.3,7612.2,7778.8,7931.1,8086.2,NaN,NaN,8388.3,NaN,8617,8773.3,8932.3,NaN,NaN,9239.2,NaN,9471.5,9631.3,9777.4,10027,10143,10268,10426,10572,10719,10871,NaN,11075,11222,11372,NaN,NaN,11698,NaN,11933,12079,12235,12497,12612,12746,12896,NaN,13102,13273,13411,NaN,NaN,13765,13920,14075,14233,14382,14538,14690,14845,14989,15145,NaN,15360,15511,15666,15936,16056,16185,16339,16508,16662,16816,16986,17162,17320,NaN,17528,17684,17851,NaN,NaN,18234,18417,18581,18743,18953
