n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n
1998.8,2190.9,3002.3,3166.4,3293.7,3641.6,3807.5,3932.7,4121.5,4273.7,4441.8,NaN,NaN,4771.1,NaN,4968,5122.3,5294.5,5509.8,5636.3,5747.7,5949.5,6089.9,6201.9,6383.1,6539.1,6699.5,NaN,NaN,7029.4,NaN,7224.7,7384,7586.7,NaN,NaN,7942.5,8078.8,8193.3,8377.5,8534.3,8698.6,8918.2,9040,9153.6,9357.7,9502.7,9615.7,9796,9951.2,10159,NaN,NaN,10503,NaN,10699,10855,11033,11253,11377,11488,11695,11832,11945,12127,NaN,12322,12479,12656,12871,12999,13113,13297,13455,13623,NaN,NaN,13984,14268
2085.8,2245.7,3095.9,3232.7,3396.6,3712.8,3880.2,4052.6,4222.8,4371.4,NaN,NaN,4702.9,NaN,4917.8,5062.7,5218.4,5465.7,5582.2,5710.5,5866.4,6020.2,6164.8,6323.8,6486.8,6638.7,NaN,NaN,6959.1,NaN,7177.8,7328.9,7480,NaN,NaN,7839.8,8014.4,8154.8,8310.7,8483,8633.2,8874.8,8990.4,9114.8,9275.7,9431.7,9580.8,9737.8,9901.8,10052,NaN,NaN,10415,NaN,10647,10800,10953,11209,11323,11454,11611,11770,11910,12067,NaN,12274,12420,12576,12833,12944,13075,13234,13397,13557,NaN,NaN,13880,14056,14338
