n,n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,g
1224.4,1805.8,1961.5,2120.2,2383.2,2550.2,2674.8,2904.4,3433.8,3601.5,3723.3,3931.1,4100.2,4216.3,4397.4,4550.2,4705.8,NaN,NaN,5036.8,NaN,5231.5,5386.3,5569.6,5785.4,5911.5,6025.8,6237,6379.9,6492.2,6674.8
1256.6,1859.2,2027.8,2186.6,2450.1,2611.3,2781,2993.5,3535.3,3666.9,3838.5,4005.1,4179.7,4331.2,4502.8,4647.2,NaN,NaN,4968.8,NaN,5182.4,5328.5,5484.3,5744.9,5856,5986,6146.1,6306.6,6453.5,6612,6858.4
