n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1943.4,2114.1,2245.3,2457,2830.9,2992.4,3107.6,3295.9,3445.8,3599.6,NaN,NaN,3934.8,NaN,4128.4,4280,4452,4665.5,4796.8,4911.6,5128.1,5274.7,5385.4,5578.5,5728.2,5886.6,NaN,NaN,6221.1,NaN,6412.8,6566.7,6748.9,6968.6,7091.9,7206.9,7412.3,7548.8,7665.3
2012,2184.4,2348.5,2525.4,2901.9,3064,3225,3395.4,3546.6,NaN,NaN,3844.2,NaN,4080.2,4231,4372.8,4624.2,4735.1,4867.9,5034.7,5195.8,5352.5,5505,5681.6,5834.5,NaN,NaN,6141.2,NaN,6365.3,6515.3,6664.7,6925.1,7036.9,7165.9,7326.5,7493.2,7625.5,7783.4
