n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
2551.2,2733.6,2904,3049.4,3164.5,3453,3636.5,3767.9,4021.6,4184.7,4310.3,4508.1,4658.6,4832.2,NaN,NaN,5159.7,NaN,5356.6,5511.8,5684.8,5904.5,6028.8,6144.6,6347.3,6498.7,6613.1,6793,6947.7,7115.4,NaN,NaN,7445.3,NaN,7639.6,7797.5,7967,8188.9,8313.6,8426.9,8628.8,8753.6,8884.8,9066.6,9222.3,9389.5,NaN,NaN,9747.6,NaN,9952,10114,10299
2603.4,2816,2962.9,3111.3,3274.6,3601.1,3701.4,3879.8,4093.3,4261.1,4436.8,4607.3,4754.3,NaN,NaN,5092.3,NaN,5307.3,5463,5607.9,5863.8,5980.1,6101.7,6273.3,6420.9,6579.8,6737,6897.8,7048.5,NaN,NaN,7368.4,NaN,7591.2,7743.2,7895.9,8147,8263.6,8389.4,8551.2,8715.3,8846.5,9008.2,9176.4,9323.5,NaN,NaN,9649.7,NaN,9892.3,10055,10213,10479
