n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,n,e,a,b,c
1980.2,2141,2254.4,2485.9,2658.4,2779.6,2982.9,3096.6,3262.6,3454.2,3600.9,3762.1,NaN,NaN,4102.7,NaN,4298.6,4455.2,4625.9,4840.3,4957.8,5068.9,5265,5405.3,5517.2,5694.5,5846.9,5993.9,NaN,NaN,6330.9,NaN,6522.6,6676.2,6855.9,7074.4,7196.2,7305.7,7517.2,7629.6,7779.6,7959.5,8110.7,8262.7,NaN,NaN,8608,NaN,8803.3,8963.7,9168.9,NaN,NaN,9505.8,NaN,9698.5,9853,10043,10404,10545,10658,10862,10999,11112,11299,11450,11621,NaN,NaN,11953,NaN,12144,12302,12475,12690,12814,12931,13130,13272,13390,13570,13723,13992,14130,14241,14422,NaN,14619
2049.4,2207,2360.8,2554.5,2725.9,2894.4,3055.6,3218.8,3380.3,3553.4,3697.3,NaN,NaN,4010,NaN,4248.4,4399.7,4550.9,4801.3,4908.6,5032.6,5191.4,5337.4,5477.8,5638.6,5800,5943.1,NaN,NaN,6244,NaN,6474.8,6626.8,6775.9,7031.3,7146.6,7269.9,7424,7587.4,7739.8,7897.3,8063.3,8206.9,NaN,NaN,8517.8,NaN,8750.4,8907,9060.9,NaN,NaN,9415.9,NaN,9650.2,9803.4,9950.8,10219,10475,10617,10777,10933,11075,11230,11394,11546,NaN,NaN,11875,NaN,12095,12244,12397,12651,12760,12889,13050,13196,13348,13508,13665,13825,14062,14206,14362,NaN,14564,14702
