n,n,n,n,e,n,n,n,n,e,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n
1828.1,1979.6,2143.6,2263,2474.5,3227.2,3354.4,3517.3,3683.3,3796.4,4310.5,4431.2,4631.6,4790.1,4950.1,NaN,NaN,5276.4,NaN,5472.9,5628.8,5812.4,6030.3,6157.1,6274.7,6475.7,6635.9,6750.2,6935.2,7087.8,7249.8,NaN,NaN,7582.9,NaN,7780.1,7952,8133,8347.8,8475.6,8587.6,8774.1,NaN,8968.9,9129,9302.8,9604.8,9765.1,9880.3,10088,10255,10374,10556,10711,10890,11114,11241,11353,11533,NaN,11727,11888,12089,NaN,NaN,12477,12682,12801,13014,13178
1886.2,2063,2210.5,2360.9,2586.5,3293.8,3443,3594.8,3759.3,3902,4380.2,4555.5,4734.2,4886,NaN,NaN,5212.5,NaN,5424.7,5573.6,5727.2,5991.1,6123.4,6233.3,6395.8,6550.6,6711.3,6872.9,7037.2,7190.3,NaN,NaN,7502.3,NaN,7726.8,7886.8,8055.1,8310.9,8420.8,8551.9,8710.5,NaN,8920.5,9074,9228.7,9483,9674.3,9842,10000,10163,10331,10488,10655,10812,11067,11188,11314,11474,NaN,11681,11826,11991,NaN,NaN,12345,12549,12762,12928,13084,13254
