n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a
1981.2,2157.8,2284.8,2546.9,2723.3,2848.5,3040.1,3188.8,3345.1,NaN,NaN,3676.1,NaN,3866.8,4023.1,4190.2,4405.5,4526.7,4637.8,4840.9,4989.4,5100,5285.6,5437.8,5594,NaN,NaN,5928.1,NaN,6120.2,6280.6,6450.8,6665.4,6791,6903.3,7105,7253.4,7365.6,7548.9,7702.4,7869.3,NaN,NaN,8200.6,NaN,8403.2,8560.1,8738.8,9027.6,9205.7,9317.2,9519.3,9677.4,9786.5,10001,10180,10291,10524,10672,10786,10983,11132,11302,11607,11744,11860,12045
2045.3,2228.2,2395.5,2616.6,2792.7,2966.4,3133.8,3285.6,NaN,NaN,3598.2,NaN,3821.2,3966.9,4118.8,4365.2,4478.8,4600.8,4764.2,4911.7,5064,5223.1,5383.9,5536.2,NaN,NaN,5857.2,NaN,6071.4,6227.1,6380,6624.8,6738.9,6868.2,7022.3,7176.5,7329.2,7485.1,7657,7800.8,NaN,NaN,8126.7,NaN,8347.1,8509.1,8655.2,8919.4,9097.8,9278.4,9438.3,9591.9,9753.2,9904.7,10076,10256,10411,10600,10745,10913,11082,11231,11482,11689,11823,11982,12101
