n,n,n,n,n,n,e,n,n,e,n,n,n,e,c,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,n
1771.4,1968.8,2121.6,2457.2,2633.7,2800.3,2955.7,3440.8,3617.3,3730.5,4002.6,4261,4447.3,4561.2,4748.6,5470.8,6130.1,6298.1,6410.3,6623.2,6811.9,6925.1,7104.7,7255.9,7408.6,NaN,NaN,7728.3,NaN,7920.6,8071.3,8234.5,8448.6,8572.6,8683.4,8880.5,9024.2,9135.1,9315.1,9468.7,9629.5,NaN,NaN,9962.8,NaN,10155,10310,10476,10691,10812,10923,11104,NaN,11299,11452,11636,NaN,NaN,11967,NaN,12161,12412,12557,12670,12869,13019,13131,13320,13472,13649,NaN,NaN,14004,14147,14259,14440,14595,14771,14986,15113,15226,15410,NaN,15609,15833
1825.3,2032.9,2195.4,2545,2704.7,2865.2,3064.8,3518.1,3684.4,3842,4074.9,4334.2,4523.3,4687.4,4921.6,5545.1,6201.3,6365.8,6548.9,6693,6887,7046.6,7208,7359.7,NaN,NaN,7663.9,NaN,7876.1,8015.3,8167.5,8412.6,8521,8645.5,8804.4,8953.5,9102.4,9259.6,9432.1,9567.8,NaN,NaN,9889.7,NaN,10108,10257,10416,10652,10768,10883,11046,NaN,11251,11418,11553,NaN,NaN,11894,NaN,12114,12249,12479,12635,12793,12943,13099,13251,13423,13572,NaN,NaN,13900,14072,14223,14384,14549,14695,14949,15059,15191,15349,NaN,15560,15698,15903
