-,-,-,-,-,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x
1402,1984.1,2283.3,2693.1,3102,3468.5,3622.2,3775.3,3872.7,4399.8,4565.2,4686.9,4972.2,5136.5,5250.8,5430.9,5580.1,5737.2,NaN,NaN,6105,NaN,6297.9,6451.1,6627.4,6841.4,6968.8,7086.8,7294.5,7454,7567.5,7755.4,7907.6,8068.9,NaN,NaN,8399.3,NaN,8593.9,8750.1,8915.2,9134.9,9257.5,9368.3,9566.2,9726.8,9839.8,10047,10187,10302,10496,10648
1492.6,2035.8,2438.7,2781.2,3255.7,3534.5,3694.3,3840.4,3996.1,4468.2,4631.4,4798.1,5041.8,5210.7,5367.8,5530.1,5673.5,NaN,NaN,5985.1,NaN,6253.2,6400.8,6547.6,6801.9,6913.6,7041,7203.3,7365.9,7529.3,7686.2,7859.3,8004.5,NaN,NaN,8322.6,NaN,8544.2,8692.1,8841.7,9090,9207.8,9331.5,9486.9,9636.6,9802.8,9958.5,10124,10265,10423,10598,10744
