n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n
1824.1,1981.9,2138.2,2294.4,2437.4,2931.8,3094.2,3224.1,3433.4,3589.8,3707.3,3885.2,4034.3,4187.8,NaN,NaN,4515.2,NaN,4706.6,4863.3,5050.3,5259.9,5384.9,5498.9,5722.2,5863.8,5972.2,6156.9,6305.4,6469.9,NaN,NaN,6794.2,NaN,6992.3,7153,7329,7544.4,7667.8,7778.9,7958.8,NaN,8152.7,8310.7,8474.1,NaN,NaN,8810.2,NaN,9003.1,9157.6,9328.3,9545.8
1873,2043.5,2201.1,2352.6,2540.6,3018.2,3162.8,3338.6,3503.6,3664.7,3822.5,3989.2,4143,NaN,NaN,4438.1,NaN,4661.7,4806.1,4960.9,5222.8,5332.3,5459.5,5615.5,5790.4,5935.2,6079.3,6254.7,6410.2,NaN,NaN,6721.2,NaN,6942.2,7096.8,7249.7,7504,7615.9,7743.1,7899.1,NaN,8106.6,8273.4,8408.6,NaN,NaN,8725.2,NaN,8952.4,9118.7,9253.4,9507.3,9618.1
