n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e
2902.2,3070.7,3187.7,3419,3603.7,3725.3,3929.2,4086.5,4199.1,4378.8,4526.8,4691.6,NaN,NaN,5020.9,NaN,5213,5365.2,5534.8,5751,5872.8,5982.9,6183.6,6320.4,6433.8,6617.1,6767.3,6883.4,NaN,NaN,7246.5,NaN,7438.3,7597.2,7761.4,7978.1,8100.8,8211.7,8409.2,8553.1,8663.3,8877.8,9017.7,9135.3,9349.6,9517.2,9637.7,9836.4,9986,10138,NaN,NaN,10465,NaN,10659,10815,11015,NaN,NaN,11340,NaN,11533,11692,11867,12086,12212,12322,12519,13029,13162,13273,13459,13610,13786,NaN,NaN,14126,NaN,14323,14486,14662,NaN,NaN,15015,15156,15267
2992.3,3137,3294.3,3485.8,3672.5,3836.3,4001.2,4155,4316.2,4476.9,4622.8,NaN,NaN,4942.9,NaN,5165.6,5309.3,5460.2,5712.4,5821.6,5944.7,6100.2,6264.1,6391.1,6555.9,6721.1,6864.1,NaN,NaN,7173.6,NaN,7391,7545.4,7692.7,7939.8,8051.7,8173.4,8333.6,8483.7,8626.7,8783.6,8951.9,9087.3,9256,9425.3,9595.4,9761.5,9932.2,10106,NaN,NaN,10398,NaN,10612,10760,10915,NaN,NaN,11267,NaN,11486,11637,11792,12043,12156,12283,12440,12668,13104,13234,13393,13559,13716,NaN,NaN,14038,NaN,14269,14420,14583,NaN,NaN,14913,15083,15229,15387
