n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c
2295.9,2422.5,2589,2741.4,2904.3,3049.3,3325.9,3502.8,3618.9,3851.2,4017.7,4134.9,4316.4,4466.1,4623.1,NaN,NaN,4950,NaN,5144.2,5299.2,5473.6,5694.2,5820.2,5933.8,6137.2,6283.8,6396.9,6570.2,6721.4,6883.7,NaN,NaN,7210.1,NaN,7405.6,7564.6,7887.7,8035,8145.9,8328.6,8485.4,8649.1,8864.2,8990.2,9103.3,9297.7,NaN,9495.2,9652.4,9814.3,NaN,NaN,10142,NaN,10338
2349.3,2462.1,2642.7,2803.4,2935,3150,3395.4,3572.6,3730.4,3925.2,4094.4,4255.2,4419.2,4563.5,NaN,NaN,4877.5,NaN,5095.9,5241.9,5397.9,5654.1,5766.9,5893.1,6052.1,6208,6360.3,6511.6,6666.2,6822,NaN,NaN,7143.2,NaN,7355.6,7510.7,7662.8,7954.3,8109.6,8266.2,8430.8,8580.9,8824.2,8934.8,9064.1,9222.8,NaN,9445.6,9597.5,9747.3,NaN,NaN,10069,NaN,10285,10398
