n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g
1968.2,2118.8,2241.6,2491.8,2692.7,2813.6,3061.4,3255,3375.9,3566.6,3721.4,3878.4,NaN,NaN,4228.2,NaN,4430.2,4585.6,4757.3,4982.3,5114.4,5230.6,5448.8,5607.2,5720.2,5921.3,6079.4,6245,NaN,NaN,6582.8,NaN,6787.4,6951.8,7114,7343.8,7470.8,7585.5,7798,7991.6,8105.4,8296.2,8454.1,8618.2,NaN,NaN,8954.6,NaN,9153.7,9317,9491.8,9714.8,9847.8,9964.9,10153,NaN,10355,10522,10738,NaN,NaN,11073,NaN,11276,11444,11624,NaN,NaN,11986,NaN,12188,12349,12544
2025.8,2184.8,2349,2560.9,2760.2,2923.5,3132.7,3326.1,3493,3668.5,3822.2,NaN,NaN,4137.5,NaN,4378.2,4534.1,4686.5,4939.4,5054.1,5186.1,5353.1,5523,5681,5840.1,6029,6176.7,NaN,NaN,6501.3,NaN,6735.5,6886.6,7051.1,7297.2,7417.3,7544.7,7710.2,7869.6,8064.2,8227.6,8401.5,8556.3,NaN,NaN,8874.8,NaN,9100.2,9259.2,9423.2,9671.8,9789.1,9921.3,10087,NaN,10305,10466,10634,NaN,NaN,10991,NaN,11221,11385,11544,NaN,NaN,11890,NaN,12135,12292,12451,12714
