n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,n,e,n,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n
1946,2116.2,2261.2,2421.8,2562.3,2829.8,3011.3,3141,3363.4,3516.3,3697.3,NaN,NaN,4033.3,NaN,4233.7,4394.2,4577.8,4802.1,4930.7,5048.3,5256.4,5435.3,5554.3,5750.5,5905.7,6074.2,NaN,NaN,6412.4,NaN,6610.8,6771.9,6962.3,7180.3,7298.2,7422.2,7636.7,7778.9,7892.7,8076.7,8232.2,8398.8,NaN,NaN,9159.3,9307.9,9421,9610.2,9764.3,9926.9,NaN,NaN,10258,NaN,10455,10615,10778,10997,11121,11235,11416,NaN,11614,11773,11971,NaN,NaN,12321,12457,12578,12768,NaN,12969,13140,13306,13527,13653,13766,13972,14115,14229,14409,NaN,14610,14769,14950,15176,15304,15417,15623,15769,15885,16075,NaN,16276,16439,16645,NaN,NaN,17004,17165,17282,17495,17698,17816,18006,NaN,18208,18423,18538,18743,18963,19111,19227,19443,19620,19736,19923,20079,20250,20466,20592,20711,20903,NaN,21101,21264,21443,21683,21874
2011.8,2194.7,2331.1,2486.8,2668,2903.7,3083.8,3257,3463.6,3614.5,NaN,NaN,3953.3,NaN,4180.5,4340.7,4491.8,4756.8,4872.8,5010.7,5173.7,5328.5,5511.2,5673.5,5846.7,6000.6,NaN,NaN,6332.7,NaN,6557.4,6716,6870.9,7144.5,7253.2,7381.6,7597.9,7710.2,7854.2,8016.2,8178.3,8333.1,NaN,NaN,8660.6,9234.2,9383.3,9546.6,9717.8,9862.1,NaN,NaN,10188,NaN,10405,10563,10713,10958,11070,11200,11358,NaN,11561,11723,11875,NaN,NaN,12229,12396,12534,12702,NaN,12917,13076,13239,13485,13597,13727,13885,14043,14192,14350,NaN,14560,14711,14878,15133,15250,15379,15539,15701,15847,16006,NaN,16227,16378,16548,NaN,NaN,16900,17072,17242,17407,17569,17775,17938,NaN,18157,18302,18498,18663,18823,19036,19188,19350,19513,19696,19858,20022,20180,20430,20537,20666,20837,NaN,21050,21208,21364,21629,21756,21947
