n,g,n,n,n,n,n,e,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,n,e,c,x,g
7015.2,7095,8068.2,8210,8331.2,8525,8679.9,8808,9056.2,9200.2,9455.5,9619.8,9733.3,9967.2,10151,10277,10477,10631,10803,NaN,NaN,11157,NaN,11353,11511,11797,11911,12087,12291,12439,12550,12742,12901,13104,NaN,NaN,13457,NaN,13654,13815,13992,14217,14339,14456,14724,14903,15020,15202,15357,15528,15750,15875,15987,16176,NaN,16367,16528,16710,NaN,NaN,17062,NaN,17257,17418,17591,17813,17935,18047,18249,18392,18505,18686,18840,19014,NaN,NaN,19341,NaN,19537,19701,19838,19987,20099,20282,20435,20628
7064.3,7200.9,8108.1,8292.2,8439.9,8588.8,8743.6,8917,9139.2,9356.5,9535,9692.3,9846.3,10038,10222,10396,10584,10729,NaN,NaN,11059,NaN,11303,11456,11605,11869,12052,12208,12363,12515,12673,12847,13002,NaN,NaN,13355,NaN,13604,13756,13917,14172,14287,14410,14575,14796,14980,15145,15303,15453,15709,15824,15947,16110,NaN,16320,16476,16627,NaN,NaN,16965,NaN,17205,17361,17516,17771,17885,18006,18172,18324,18470,18628,18786,18940,NaN,NaN,19271,NaN,19487,19634,19759,19909,20062,20217,20376,20535,20807
