n,n,n,n,n,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1436.5,1790.8,1955.8,2127.7,2359.6,3071,3240.2,3367.1,3642.7,3825,3947.4,4160.2,4309.8,4477.7,4699.1,4826.9,4938.5,5155.4,5300.5,5416,5646.7,5798.2,5914,6100.7,6252.4,6409.8,NaN,NaN,6756.2,NaN,6951.1,7107.8,7278.5,7500.4,7627.1,7741.8,7939.1,8088.8,8200.8,8402.3,8547.3,8664.6,8843.5,8996.8,9161,NaN,NaN,9501.3,NaN,9695.9,9851.8,10032,10250,10379,10491,10676,NaN,10875,11030
1470.5,1865.6,2030.9,2173.9,2457.6,3139.5,3308.8,3470.4,3712.3,3898.9,4062.4,4254.3,4406.3,4657,4771.5,4902.5,5056.8,5226,5379.2,5536,5720,5874.8,6032.9,6203.8,6350.8,NaN,NaN,6666.2,NaN,6905.2,7054.2,7206,7456.4,7570.4,7700.4,7862.1,8009.7,8165.5,8323.4,8472.4,8626.2,8795.2,8944.5,9095.3,NaN,NaN,9411.3,NaN,9645.9,9794.7,9951.3,10208,10325,10455,10610,NaN,10822,10973,11129
