n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c
1989.2,2153.2,2265.2,2518.9,2694.6,2816.6,2997.8,3150,3324.2,NaN,NaN,3645.5,NaN,3838.8,3994,4160.5,4376.1,4501,4612,4816.7,4958.9,5072,5250.8,5403.4,5564.1,NaN,NaN,5890.1,NaN,6086.2,6243,6413.8,6623.9,6748.5,6860.2,7051.8,7196.4,7309.6,7513.2,7654.3,7765.3,7951.9,8102.2,8268.2,NaN,NaN,8600.2,NaN,8802.7,8962.6,9313.3,9446.6,9558.8,9737.2,NaN,9928.9,10086,10271,NaN,NaN,10608,NaN,10802,10962,11130,11345,11474,11587,11796,11942,12060,12241,12395,12566,12788,12910,13021,13209,NaN,13405,13573,13756,13975,14100,14216,14400,NaN,14600
2061.7,2221.3,2374.2,2585.7,2769.4,2936.9,3095.5,3247.1,NaN,NaN,3578.3,NaN,3789.3,3945.8,4090.6,4336.4,4447.7,4575.4,4732.9,4893.7,5034.2,5192.2,5368.4,5499.9,NaN,NaN,5820,NaN,6038.7,6202.8,6339.3,6586.8,6696.9,6824.6,6978.4,7126.6,7273.2,7430.2,7588.9,7732.9,7885.9,8051.3,8213.3,NaN,NaN,8522.8,NaN,8745.9,8901.3,9058.6,9385.1,9526,9679.5,NaN,9886.3,10028,10192,NaN,NaN,10522,NaN,10754,10907,11062,11305,11420,11551,11705,11870,12015,12178,12334,12496,12746,12860,12988,13143,NaN,13356,13513,13673,13933,14048,14177,14338,NaN,14548,14664
