n,n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,n,e,a,b,c,x
1351.2,1974.5,2132.8,2605.5,2751.6,2942.8,3216.5,3501.3,3718.4,3859.8,4761.7,4940.8,5051.8,5280.5,5475,5602.9,5795.8,5942.5,6104.2,NaN,NaN,6433.4,NaN,6631.3,6783.9,6956.5,7171.3,7295,7408,7607.9,7760.6,7925.6,NaN,NaN,8282.6,NaN,8483.1,8642.6,8835.2,9050.7,9181.6,9297.4,9510.2,9654.4,9766.9,9963.9,10116,10287,NaN,NaN,10715,10851,10971,11178,11325,11441,11643,11786,11963,12083,12273,NaN,12473,12631
1381.7,2043.2,2179.4,2647.9,2837.8,2994.2,3285.9,3570.4,3771.9,3962.6,4829.9,5020.1,5165.6,5350.8,5547,5720.7,5889.7,6039.9,NaN,NaN,6356.4,NaN,6581,6731.4,6878,7129.7,7259.8,7368.3,7531.5,7725.3,7860.3,NaN,NaN,8176.2,NaN,8429.6,8588.7,8740.8,9011.1,9118.5,9257.3,9416.8,9581.4,9726.4,9891.3,10066,10217,NaN,NaN,10544,10783,10931,11095,11254,11402,11563,11727,11857,12042,12201,NaN,12421,12579,12726
