g,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x
2067.7,2162,2344.8,2503.1,3244.4,3415.2,3543.3,3756,3962.6,4088.2,4287.6,4450.3,4569.8,4750.7,4900.7,5059.1,NaN,NaN,5377.2,NaN,5568.5,5718.8,5889.6,6103.2,6226.2,6337.7,6538.1,6684,6792.6,6982.8,7138,7297.6,NaN,NaN,7634.9,NaN,7828.4,7983.2,8144.9,8406.5,8541.9,8650.4,8829.2,8985.9,9147,NaN,NaN,9466.1,NaN,9659.6,9813.7,9988.5,10202,10325,10436,10618,NaN,10812,10966,11136,11350,11470,11581,11759,NaN,11952,12103,12269,NaN,NaN,12586,NaN,12781,12949,13065,13265,13397,13508,13689,13841,14002,NaN,NaN,14348,14480,14592,14779,14932,15089,15309,15430,15540,15753,15897,16011,16205,NaN,16405,16560
2123.8,2207.8,2414.7,2551.4,3315.1,3482.3,3647.9,3827.5,4029.7,4200.4,4354.2,4524.5,4687.6,4849.2,4999.2,NaN,NaN,5315.3,NaN,5519.8,5670.1,5816.9,6064.3,6176.2,6300.9,6462.7,6611.8,6761.2,6915.9,7083.2,7235,NaN,NaN,7553.7,NaN,7777.6,7924.7,8076.7,8253.8,8475.9,8620,8771.4,8930.9,9085.2,NaN,NaN,9399.1,NaN,9609.7,9762.6,9911.5,10168,10274,10398,10556,NaN,10765,10917,11066,11310,11422,11546,11698,NaN,11903,12050,12203,NaN,NaN,12520,NaN,12735,12874,13025,13187,13336,13470,13630,13785,13941,NaN,NaN,14253,14415,14552,14709,14876,15029,15270,15384,15505,15663,15825,15975,16134,NaN,16350,16511,16662
