n,n,n,n,n,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c
1954.6,2604,2830.3,3228,3382.6,3522.2,3686.3,3800.8,4209.2,4398.3,4530.7,4929.5,5231.4,5414.9,5537.4,5732.1,5885,6042.1,NaN,NaN,6767.3,6929.1,7041.6,7250.9,7402.8,7516,7697,7848.2,8003.1,NaN,NaN,8414.5,8650.6,8832.6,8950.3,9505.5,9660.5,9771.5,9950.1,10102,10261,NaN,NaN,10589,NaN,10782,10935,11103,11315,11440,11551,11754,11896,12006,12204,12337,12447,12623,12773,12940,NaN,NaN,13263,NaN,13456,13610,13775,13986,14109,14220,14406,NaN,14605
2024.1,2652.5,2884.2,3278.6,3444.7,3598.6,3753.5,3907.9,4285,4468.1,4637.7,5050.9,5303.2,5486.6,5660.7,5837.2,5990.9,NaN,NaN,6295.8,6842.7,7004.8,7164.6,7326,7479.2,7636.7,7803.4,7948.7,NaN,NaN,8258.1,8490.5,8730.4,8910.5,9072.8,9579.8,9734.9,9894.4,10052,10202,NaN,NaN,10516,NaN,10733,10885,11030,11276,11386,11517,11675,11828,11974,12124,12280,12412,12565,12729,12873,NaN,NaN,13212,NaN,13409,13558,13711,13949,14063,14189,14341,NaN,14553,14709
