-,-,-,-,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,c,x,n,n,e,c,x,d,m,p,n,c,g,-
1998.5,2585.2,2977.3,3336.2,4019,4189.2,4338.2,4495,4609.8,4818.6,4975.8,5103.2,5301.8,5449.2,5604.8,NaN,NaN,5937.5,NaN,6127.8,6283.9,6450.9,6668,6786,6898,7097.6,7248.9,7359.1,7543.1,7698.2,7872.2,NaN,NaN,8219,NaN,8418.2,8571.5,8824.3,8876.4,9043.5,9195.1,9307.6,9493.4,9645.9,9846.2,NaN,NaN,10324,10445,10665,10961
2252.1,2643,3081.4,3441.9,4112.2,4264.8,4406.4,4563.3,4723,4890.6,5047.1,5218.2,5399.7,5545.7,NaN,NaN,5852,NaN,6081.8,6224.6,6380.7,6626.1,6735.2,6858.7,7017.6,7174.6,7325.2,7484.1,7648.9,7798.4,NaN,NaN,8130.1,NaN,8365.5,8523.4,8666.9,8863.9,8924.1,9116,9270.3,9426.8,9594.3,9772.1,NaN,NaN,10098,10396,10619,10736,11182
