n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
3771.3,3927.4,4080.2,4313.8,4604.3,4883.8,5005.6,5168.3,5355,5510.9,5673.4,NaN,NaN,6002.3,NaN,6198.8,6357.5,6525.2,6745,6873,6987,7208.9,7355,7469.4,7648.8,7804.2,7971.8,NaN,NaN,8307.6,NaN,8501.5,8659.4,8833.9,9056.4,9184.4,9299.2,9504.9,9644.4,9761.7,9948.1,10106,10274,NaN,NaN,10604,NaN,10797,10959,11140,11363,11490,11602,11805,11961,12060,12281,12426,12543,12724,12877,13049,NaN,NaN,13416,13597,13714,13904,14058,14239,NaN,NaN,14580,NaN,14776,14937,15126,15344,15471,15588
3833.3,4007.2,4147.2,4535.9,4714.4,4968,5112.9,5293.1,5459.8,5609.4,NaN,NaN,5942.9,NaN,6150.1,6304.5,6457,6705.8,6816.2,6952.2,7115.4,7283.7,7427.3,7591.9,7755.8,7908.6,NaN,NaN,8233.6,NaN,8452.9,8610.2,8757,9018,9149.2,9261.9,9424.6,9580.9,9723,9887.3,10051,10204,NaN,NaN,10537,NaN,10751,10908,11062,11321,11438,11566,11726,11882,12030,12187,12355,12504,12666,12829,12976,NaN,NaN,13311,13490,13674,13844,14007,14160,NaN,NaN,14501,NaN,14727,14876,15040,15309,15420,15550,15716
