n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1787.1,1962.6,2124.5,2279.8,2395.4,2639.6,2810.4,2925.4,3105.8,3254.1,3409.6,NaN,NaN,3728.6,NaN,3921.6,4071,4239.4,4451.6,4574.9,4685.1,4866.2,5017.1,5173.1,NaN,NaN,5496.3,NaN,5686.6,5839.8,6002.6,6213.9,6337.1,6447,6644.3,6778.4,6887.5,7059.5,7210.1,7370.2,NaN,NaN,7692,NaN,7884.2,8039.3,8212.9,8426.2,8548.1,8657.9,8855.9,8998.3,9113.3,9296.7,NaN,9488.4,9642.3,9846.2,NaN,NaN,10173,NaN,10367,10521,10695,10908,11034,11146,11326,NaN,11523,11680,11859,12075,12202,12318,12499,NaN,12699,12857,13054,NaN,NaN,13421
1826.7,2030.6,2182.7,2348.6,2500.2,2704.8,2882.2,3042.7,3204.2,3348.6,NaN,NaN,3666.7,NaN,3876.9,4018.2,4163.4,4409.9,4523.6,4651.9,4805.2,4969.8,5111.2,NaN,NaN,5427.4,NaN,5640.5,5783.4,5934.1,6175.6,6284.7,6409.9,6562.9,6713.9,6852.3,7007.9,7161.2,7308.3,NaN,NaN,7620.2,NaN,7836.4,7984.9,8134.2,8389.6,8498.5,8623,8777.9,8926.3,9072.5,9238.8,NaN,9439.6,9591.3,9740.5,NaN,NaN,10092,NaN,10317,10468,10620,10869,10981,11111,11267,NaN,11469,11626,11779,12037,12170,12279,12438,NaN,12647,12805,12957,NaN,NaN,13305,13487
