n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x
1895.1,1998.8,2174.2,2335.8,2467.4,2759.6,2939.2,3065.4,3262,3413,3551.3,NaN,NaN,3904.7,NaN,4096.6,4248.1,4424.6,4644.4,4768.8,4882.2,5085.1,5224.4,5333.4,5517.8,5668.4,5822.4,NaN,NaN,6140,NaN,6332.8,6486.8,6662.1,6874.3,6998.6,7107.3,7294.8,7441,7594.3,NaN,NaN,7916,NaN,8109.5,8261.6,8436.1,8649.8,8774.1,8883.8,9069.3,NaN,9262.2,9419.9,9603.3,NaN,NaN,9954.3,10093,10203,10388,10543
1947.3,2095.9,2235.2,2398.8,2576.7,2879.7,3008.6,3180.2,3365.8,3512.3,NaN,NaN,3813.6,NaN,4048.6,4198,4342.1,4605.9,4715.5,4844.9,4999,5151.8,5296.9,5452.2,5619,5766.6,NaN,NaN,6076.1,NaN,6285.1,6431.9,6585,6837.7,6945.3,7071.8,7227.4,7390.1,7537.2,NaN,NaN,7847.6,NaN,8061,8206.6,8358.9,8611.4,8723.4,8851.5,9004.8,NaN,9213.9,9368.8,9517.7,NaN,NaN,9860.1,10020,10173,10312,10489,10644
