n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1849.6,1972.3,2125.5,2390.1,2711.9,2838.3,3069.8,4132.8,4313,4430,4664.1,4902.6,5012.3,5193.1,5343.1,5491.4,NaN,NaN,5825.9,NaN,6019.8,6170.2,6337.8,6552.6,6677.9,6793.3,6980.3,7129.1,7288.5,NaN,NaN,7697.8,7850.3,7962.3,8148.4,8298.9,8459.3,8674.4,8798.9,8908.5,9105.1,9249.2,9360,9539.2,9690,9867.5,NaN,NaN,10188,NaN,10382,10538,10708,10925,11051,11169,11378,11515,11624,11804,NaN,12003,12157,12337,NaN,NaN,12663,NaN,12858,13016,13186,13404,13528,13636,13818,NaN,14013,14170
1895.2,2049.7,2176.5,2460.8,2788.2,2985.3,3174.8,4207.5,4379.1,4543.5,4733.3,4976.4,5131.2,5296.6,5437.7,NaN,NaN,5739.7,NaN,5971.4,6121.9,6262.2,6517,6626.7,6752.4,6909.3,7082.3,7225.6,NaN,NaN,7541.7,7774.2,7924.5,8081.6,8241.8,8397.8,8636.2,8755.3,8874.9,9027.6,9180.7,9323.4,9479.2,9641.5,9789.6,NaN,NaN,10123,NaN,10333,10485,10636,10886,11000,11123,11291,11447,11591,11751,NaN,11950,12111,12257,NaN,NaN,12593,NaN,12811,12958,13115,13369,13476,13604,13760,NaN,13968,14120,14267
