n,n,n,n,n,e,n,n,n,e,n,n,e,n,n,d,m,p,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,e,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e
2232.2,2508.1,2641.8,2917.6,3078.5,3208.7,3428.3,3575.5,3732.7,3841.8,4065,4228.1,4355.9,4651.2,4836.1,4975.1,NaN,NaN,5447.4,5636.8,5756.8,5991.2,6228.5,6523.9,6729.5,6865.3,7009.4,7192.1,7342,7498.3,NaN,NaN,7824.5,NaN,8019.6,8173.8,8343.9,8562,8689.5,8800.6,8987.8,9143.4,9319.4,NaN,NaN,9661,9799.2,9912.8,10117,10260,10374,10556,10708,10882,11097,11222,11337,11514,NaN,11710,11869,12047,12123,12268,12394,12508,12713,12908,13020,13200,NaN,13396,13556,13764,NaN,NaN,14110,14262,14382
2447.3,2605,2773.9,2989.2,3147.1,3314.7,3512.9,3653.8,3804.8,3953.4,4141.7,4302.3,4473.9,4726.3,4909.6,NaN,NaN,5272,5526.7,5711.9,5879.4,6060.2,6477.1,6641.2,6818.4,6973.8,7136.4,7294,7439.5,NaN,NaN,7752.9,NaN,7968.8,8120.3,8269.7,8524,8635.7,8763.4,8922,9088.3,9244.5,NaN,NaN,9581.7,9730.4,9872.7,10030,10189,10340,10495,10647,10811,11062,11169,11295,11458,NaN,11660,11808,11963,12087,12229,12338,12469,12626,12785,12985,13141,NaN,13343,13499,13653,NaN,NaN,14017,14180,14337,14502
