n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n
1987.8,2159.7,2304.7,3186.2,3339.2,3467.9,4009.3,4175.8,4298.2,4500.1,4650.9,4810,NaN,NaN,5141.2,NaN,5336.4,5487.6,5654.2,5880.6,6001.3,6111.3,6307.1,6461.1,6621.6,NaN,NaN,6948.6,NaN,7140.9,7295.6,7457.2,7674.9,7801.8,7914.3,8111,8246.4,8359.8,8539.9,8695.1,8854.4,NaN,NaN,9180.4,NaN,9375.5,9532.5,9703.7,9920.1,10049,10161,10349,NaN,10543,10701,10881,11098,11221,11333,11512,NaN,11712,11869,12042,12262,12393,12513,12740
2073.5,2223.4,2412.6,3260.2,3411.4,3583.7,4077.6,4246.7,4415.8,4596.2,4747.7,NaN,NaN,5065.4,NaN,5289.2,5435.9,5584.9,5829.8,5950,6079.3,6233.5,6407.6,6555.8,NaN,NaN,6878,NaN,7094.7,7243.5,7392.5,7639.3,7745.8,7877.3,8033.7,8197.6,8319.5,8480,8644.6,8793.5,NaN,NaN,9105.6,NaN,9324.7,9476.4,9632.1,9883.3,9993.9,10123,10282,NaN,10492,10649,10800,11060,11166,11293,11454,NaN,11660,11815,11964,12220,12347,12469,12636,12810
