-,-,O,g,-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,-
1990.3,2360.6,2587,2680.2,3517.8,3830.5,4027.6,4163.1,4407.8,4577.2,4689.1,4870.7,5022,5171.8,NaN,NaN,5484.8,NaN,5673.3,5823.4,5982.3,6191.7,6314.4,6426.2,6624.1,6761.8,6871.3,7086.6,7223.3,7334.9,7513,7663.7,7818.4,NaN,NaN,8138.2,NaN,8329.8,8484.2,8656.4,8865.3,8989.6,9101.7,9301.8,9448,9558.5,9784.3,9918.6,10032,10216,10364,10537,NaN,NaN,10864,NaN,11056,11206,11375,11591,11721,11835,12013,NaN,12206,12362,12535,12757,12884,12998,13202,13359,13472,13705,14757
2035.8,2421.2,2625.9,2795.7,3634.1,3902.9,4094,4270.4,4474.8,4649.1,4807,4972.5,5115.2,NaN,NaN,5421.9,NaN,5630.1,5773.1,5916.1,6154.8,6262.3,6390.7,6550.2,6696.8,6835.6,6991.2,7163.1,7301.4,7454.9,7615.8,7759.3,NaN,NaN,8067.4,NaN,8280.6,8437.1,8583.2,8828.3,8938.1,9064.3,9222.8,9375.4,9523.3,9674.4,9863.7,9996,10152,10316,10463,NaN,NaN,10805,NaN,11012,11155,11303,11553,11664,11800,11954,NaN,12158,12308,12459,12714,12846,12962,13121,13274,13435,13595,13766,14822
