n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n
1993,2184.8,2303.8,2544,2728.6,2856.1,3043.7,3199.3,3357.2,NaN,NaN,3697.1,NaN,3897.7,4053.5,4221.4,4445.8,4575.6,4689.3,4894.3,5033.7,5147.6,5329.7,5487.2,5644.4,NaN,NaN,5975.2,NaN,6170.7,6328.2,6500.4,6722.5,6854.1,6967.1,7153.4,7310.6,7468.9,NaN,NaN,7802.4,NaN,8003.7,8165.2,8329.9,8554.6,8680.6,8792.1,8982.8,NaN,9180.2,9339.2,9518.3,NaN,NaN,9858.1,NaN,10058,10220,10390,10614,10745,10856,11045,11206,11373,NaN,NaN,11703,NaN,11904,12075,12243,12470,12601,12716,12927,13071,13185,13373,13532,13709,13933,14062,14180,14363,NaN,14564,14731,14917,15145,15274,15388,15610,15762,15876,16063,NaN,16265,16430,16644,16871,16999,17115,17356,17502,17620,17806,NaN,18010,18174,18387,NaN,NaN,18756,18924
2057.9,2245.7,2412.3,2618.7,2796.8,2980.3,3143.3,3298.2,NaN,NaN,3623.7,NaN,3847.8,4015.7,4157.2,4404.2,4532.2,4649.7,4808.6,4967.6,5112.5,5276.2,5449.1,5600.2,NaN,NaN,5901.9,NaN,6125,6279.4,6443.2,6684,6812,6933.6,7103.1,7258.5,7423.5,NaN,NaN,7725.7,NaN,7951.6,8107,8273.3,8512.6,8639.4,8761.7,8913.6,NaN,9130.8,9304,9451.2,NaN,NaN,9778.8,NaN,10006,10171,10331,10574,10701,10820,10989,11148,11314,NaN,NaN,11634,NaN,11855,12017,12188,12430,12554,12681,12837,13024,13153,13306,13480,13636,13893,14021,14141,14308,NaN,14514,14677,14842,15103,15224,15354,15512,15701,15841,16012,NaN,16212,16386,16539,16830,16953,17078,17240,17445,17584,17738,NaN,17957,18117,18281,NaN,NaN,18644,18845,18991
