n,n,g,n,n,n,e,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1960,2383.3,2483.1,2635,8105,8262.2,8383,8611.2,8767.1,8884.2,9379.9,9542.8,9667.2,9896.5,10044,10221,10304,10545,NaN,10737,10892,11071,11300,11423,11534,11734,11869,11980,12166,12319,12474,NaN,NaN,12809,NaN,13001,13157,13332,13550,13671,13782
2256.4,2429.7,2533.5,2735.1,8183.4,8327.1,8492.1,8680.3,8839.4,9002,9447,9615.2,9781,9992.6,10143,10280,10466,NaN,10690,10846,10990,11245,11370,11494,11652,11814,11943,12110,12286,12416,NaN,NaN,12762,NaN,12954,13107,13256,13510,13621,13749,13899
