n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x
1969.9,2145.5,2268.5,2694.2,2884.1,3007.9,3218.9,3376.9,3496.4,3679.3,3832.8,3991.1,NaN,NaN,4321.8,NaN,4514.8,4671.8,4849.2,5064.3,5193.2,5305.8,5517,5662.4,5771.2,5954.9,6111.8,6281.7,NaN,NaN,6617.5,NaN,6814.7,6975.6,7157.7,7458.8,7597.8,7712.2,7895.5,8051.1,8211.4,NaN,NaN,8558.3,NaN,8756.3,8914.1,9093.5,9315.5,9442.4,9559.7,9750.5,NaN,9946.7,10108,10342,NaN,NaN,10691,NaN,10892,11053,11292,NaN,NaN,11651,11799,11916,12124,12265,12379,12570,12725
2031.3,2208.9,2372.9,2768.7,2955.9,3121,3313.9,3453.2,3611.2,3782.9,3931.1,NaN,NaN,4243.9,NaN,4466.1,4615.1,4769.6,5026.6,5134.6,5266.6,5432.4,5587.1,5738.3,5894.1,6056.1,6218.6,NaN,NaN,6536.8,NaN,6763.6,6935.5,7075.2,7332.8,7530.7,7673.3,7832.6,7997.4,8148.9,NaN,NaN,8470.2,NaN,8706.5,8874.8,9013,9271.4,9402.6,9524.3,9680.3,NaN,9897.4,10056,10208,NaN,NaN,10595,NaN,10838,10995,11151,NaN,NaN,11543,11724,11873,12035,12196,12349,12492,12674,12825
