c,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n
1644.1,1808.4,1974.1,2119.8,2378.4,2530.4,2678.2,2949.1,3128.9,3258.6,3471.1,3621.1,3801.5,NaN,NaN,4134,NaN,4326.2,4480.6,4654.8,4870.3,4992.8,5108.8,5324.6,5478.2,5586.8,5761.9,5914.3,6066.9,NaN,NaN,6404,NaN,6595.2,6750.7,6928.7,7143,7265.3,7373.4,7556.9,7710.2,7867.2,NaN,NaN,8203.8,NaN,8398.5,8552.1,8723.8,8941.9,9064.8,9174.6,9353.5,NaN,9544.1,9700.8,9862.1,10079,10201,10312,10492,NaN,10687,10843,11024,11242,11371,11492,11670,NaN,11867,12025,12197,12411,12535,12648,12825,NaN,13022,13180,13356,13577,13704,13817,14019
1678.6,1850.1,2034.2,2177.7,2442.8,2594.9,2781.2,3021.5,3201.2,3375.7,3574.4,3711.8,NaN,NaN,4058.7,NaN,4282,4428.2,4574.8,4832.9,4957.1,5068.6,5227.6,5397.5,5554.6,5705.3,5863.6,6010.9,NaN,NaN,6320.2,NaN,6550.7,6700.8,6848.2,7104.2,7215.4,7342.8,7492.8,7661.7,7812.8,NaN,NaN,8124.7,NaN,8349.4,8502.9,8651.2,8902.4,9012.7,9140.9,9294.9,NaN,9498.2,9643.3,9798.3,10039,10151,10277,10436,NaN,10641,10794,10940,11202,11316,11447,11613,NaN,11816,11973,12120,12372,12484,12608,12769,NaN,12970,13120,13278,13538,13660,13785,13946,14091
